ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
PIP-FUCCI,PIP-FUCCI.tif,C3.1,TRUE,TRUE,123,178.1,27.7,610,0.156,0.292
PIP-FUCCI,PIP-FUCCI.tif,C3.1.1,TRUE,TRUE,113,127.2,40.5,560,0.319,0.227
PIP-FUCCI,PIP-FUCCI.tif,C3.1.2,TRUE,TRUE,126,126.7,32,625,0.253,0.203
PIP-FUCCI,PIP-FUCCI.tif,C3.2,TRUE,TRUE,133,181.2,9.8,660,0.054,0.275
PIP-FUCCI,PIP-FUCCI.tif,C3.2.2,TRUE,TRUE,149,224.2,16.1,740,0.072,0.303
PIP-FUCCI,PIP-FUCCI.tif,C4.1,TRUE,TRUE,103,237.3,20.2,510,0.085,0.465
PIP-FUCCI,PIP-FUCCI.tif,C4.2,TRUE,TRUE,108,203.4,28,535,0.138,0.38
PIP-FUCCI,PIP-FUCCI.tif,C4.2.1,TRUE,TRUE,125,271,77.4,620,0.286,0.437
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2,TRUE,TRUE,132,225,22.7,655,0.101,0.344
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.1,TRUE,TRUE,134,183.4,12.6,665,0.068,0.276
PIP-FUCCI,PIP-FUCCI.tif,C5.1,TRUE,TRUE,98,134.9,22.5,485,0.166,0.278
PIP-FUCCI,PIP-FUCCI.tif,C5.1.1,TRUE,TRUE,132,212.7,49.8,655,0.234,0.325
PIP-FUCCI,PIP-FUCCI.tif,C5.1.2,TRUE,TRUE,119,201.6,54.2,590,0.269,0.342
PIP-FUCCI,PIP-FUCCI.tif,C5.2,TRUE,TRUE,100,139.6,11.7,495,0.084,0.282
PIP-FUCCI,PIP-FUCCI.tif,C6.1,TRUE,TRUE,119,207.6,80,590,0.385,0.352
PIP-FUCCI,PIP-FUCCI.tif,C6.1.1,TRUE,TRUE,155,255.8,65,770,0.254,0.332
PIP-FUCCI,PIP-FUCCI.tif,C6.1.2,TRUE,TRUE,115,140.9,8.2,570,0.058,0.247
PIP-FUCCI,PIP-FUCCI.tif,C6.2,TRUE,TRUE,249,419.5,7.9,1240,0.019,0.338
PIP-FUCCI,PIP-FUCCI.tif,C7.2,TRUE,TRUE,150,177,13,745,0.073,0.238
PIP-FUCCI,PIP-FUCCI.tif,C7.2.2,TRUE,TRUE,120,185.3,40.2,595,0.217,0.311
PIP-FUCCI,PIP-FUCCI.tif,C8.1,TRUE,TRUE,77,98.7,46.1,380,0.467,0.26
PIP-FUCCI,PIP-FUCCI.tif,C8.1.1,TRUE,TRUE,104,198.5,45.3,515,0.228,0.385
PIP-FUCCI,PIP-FUCCI.tif,C8.2,TRUE,TRUE,101,143.1,6.4,500,0.045,0.286
PIP-FUCCI,PIP-FUCCI.tif,C8.2.1,TRUE,TRUE,104,128.5,7.2,515,0.056,0.25
PIP-FUCCI,PIP-FUCCI.tif,C8.2.2,TRUE,TRUE,115,111.4,19.3,570,0.174,0.195
PIP-FUCCI,PIP-FUCCI.tif,C9.1,TRUE,TRUE,134,204,16.6,665,0.081,0.307
PIP-FUCCI,PIP-FUCCI.tif,C9.1.1,TRUE,TRUE,130,205.4,7.2,645,0.035,0.318
PIP-FUCCI,PIP-FUCCI.tif,C9.1.2,TRUE,TRUE,124,165.2,31.4,615,0.19,0.269
PIP-FUCCI,PIP-FUCCI.tif,C9.2,TRUE,TRUE,143,226.2,22.6,710,0.1,0.319
PIP-FUCCI,PIP-FUCCI.tif,C9.2.1,TRUE,TRUE,146,235.1,37.7,725,0.16,0.324
PIP-FUCCI,PIP-FUCCI.tif,C9.2.2,TRUE,TRUE,129,244.8,55.2,640,0.225,0.382
PIP-FUCCI,PIP-FUCCI.tif,C10.1,TRUE,TRUE,111,119.7,13.2,550,0.11,0.218
PIP-FUCCI,PIP-FUCCI.tif,C10.1.1,TRUE,TRUE,118,154.3,3.8,585,0.025,0.264
PIP-FUCCI,PIP-FUCCI.tif,C10.1.1.1,TRUE,TRUE,150,281.3,77.6,745,0.276,0.378
PIP-FUCCI,PIP-FUCCI.tif,C10.1.2,TRUE,TRUE,141,219.1,40.1,700,0.183,0.313
PIP-FUCCI,PIP-FUCCI.tif,C10.2,TRUE,TRUE,105,150.7,15.4,520,0.102,0.29
PIP-FUCCI,PIP-FUCCI.tif,C10.2.1,TRUE,TRUE,168,269.1,18.9,835,0.07,0.322
PIP-FUCCI,PIP-FUCCI.tif,C10.2.2,TRUE,TRUE,135,158.2,17.5,670,0.111,0.236
PIP-FUCCI,PIP-FUCCI.tif,C10.2.2.2,TRUE,TRUE,146,221.5,38.1,725,0.172,0.305
PIP-FUCCI,PIP-FUCCI.tif,C11.1,TRUE,TRUE,122,154.1,40.1,605,0.26,0.255
PIP-FUCCI,PIP-FUCCI.tif,C11.1.2,TRUE,TRUE,140,288.3,44.2,695,0.153,0.415
PIP-FUCCI,PIP-FUCCI.tif,C11.2,TRUE,TRUE,124,222,63.5,615,0.286,0.361
PIP-FUCCI,PIP-FUCCI.tif,C11.2.1,TRUE,TRUE,125,182.5,17.6,620,0.096,0.294
PIP-FUCCI,PIP-FUCCI.tif,C11.2.2,TRUE,TRUE,134,276.1,104,665,0.377,0.415
PIP-FUCCI,PIP-FUCCI.tif,C12.1,TRUE,TRUE,165,225.2,25.9,820,0.115,0.275
PIP-FUCCI,PIP-FUCCI.tif,C12.1.1,TRUE,TRUE,112,205.7,19.2,555,0.094,0.371
PIP-FUCCI,PIP-FUCCI.tif,C12.1.2,TRUE,TRUE,121,214,33.9,600,0.158,0.357
PIP-FUCCI,PIP-FUCCI.tif,C12.2,TRUE,TRUE,218,323,27.3,1085,0.085,0.298
